Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,9000,200,800,3000,1000,37500,500,525,750,100
AR100293190078169088,DYLAN BILLINGS FOR SENATE,FEC ID C00714477,US,US-Federal,1,100,50,3750,100,300,1000,500,15000,200,225,750,50
AR10057920054034432,ARCHERD FOR CONGRESS,FEC ID C00732347,US,US-Federal,3,700,600,49250,1225,4700,16000,4500,210000,2700,3000,6750,550
AR100609299671154688,"PS:Digital, s.r.o.",,"AT, CZ, EU, SK",EU-Parliament,5,0,0,1750,50,200,1000,0,7500,100,150,0,0
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,70,77800,68800,5491250,134525,509800,1766000,513500,22110000,295900,325500,721500,60900
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,247,90300,80150,6370750,156750,594700,2058000,598000,26122500,344400,378750,847500,70150
AR101121809528651776,"PETE FOR AMERICA, INC.",FEC ID C00697441,US,US-Federal,7600,5836900,5247550,413325000,10263650,38984700,134022000,39197000,1732725000,22459500,24981975,55748250,4544100
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,11,12400,10800,895500,21125,80300,279000,80500,3495000,46500,50400,111750,9550
AR101183107301900288,Fianna Fáil,,"DK, EU, GB, IE, LT, SI",EU-Parliament,179,22300,20100,1580750,39300,149400,510000,150000,6690000,86200,95850,213750,17200
AR101209633019920384,VAN DREW FOR CONGRESS,FEC ID C00661868,US,US-Federal,2,6200,5600,441250,10925,41600,142000,41500,1845000,23800,26625,58500,4750
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,11,1200,1050,87750,2050,7800,27000,8000,337500,4500,4875,11250,900
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,4,1700,1500,125250,2975,11300,39000,11500,487500,6500,7050,15750,1350
AR101487259705933824,MANUEL E LLOSAS,,US,US-Federal,2,300,250,18750,450,1700,6000,2000,75000,1000,1125,2250,200
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,41,226900,204350,16070500,399650,1516400,5215000,1526000,67665000,876100,971850,2172750,178700
AR102381712415129600,"THE DAILY WIRE, LLC",EIN ID 82-1765782,US,US-Federal,233,23000,20800,1640750,40700,154900,524000,155500,6997500,88700,99450,220500,17600
AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,EIN ID 84-3231707,US,US-Federal,8,900,850,67000,1650,6300,22000,6500,277500,3600,4050,9000,750
AR103092134365626368,NEOS Rathausklub,,"AT, EU",EU-Parliament,31,20800,18650,1461000,36500,138200,478000,139500,6127500,80200,88575,198000,16600
AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,FEC ID C00084368,US,US-Federal,6,12200,10950,856500,21425,81300,281000,82000,3607500,47000,51975,117000,9650
AR103378007388848128,STUCK FOR CONGRESS,EIN ID 84-2263229,US,US-Federal,6,400,400,31750,800,3000,10000,3000,135000,1700,1950,4500,350
AR103839115077746688,ARNOLD FOR ALABAMA,FEC ID C00705269,US,US-Federal,24,10500,9450,747000,18500,70400,242000,70500,3127500,40500,45000,102000,8150
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,12,500,400,33500,825,3100,11000,3000,135000,1800,2025,4500,350
AR104028093638770688,FRIENDS OF RAJA FOR CONGRESS,FEC ID C00575092,US,US-Federal,5,45200,39650,3315500,77525,294500,1024000,295500,12817500,170800,184800,410250,35000
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5500,454750,10800,41000,142000,41000,1785000,23700,25650,57000,4950
AR104766140818915328,Vänsterpartiet,,"EU, SE",EU-Parliament,14,15200,13550,1057750,26550,100800,350000,101500,4425000,58400,64650,145500,11950
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,US,US-Federal,5601,4991700,4471550,353070500,8746000,33188900,114527000,33390500,1468680000,19225500,21176625,47280750,3932650
AR105560125653123072,PANG LY FOR JUDGE 2020,Registered in California,US,US-Federal,1,500,500,38500,950,3600,12000,3500,157500,2100,2325,5250,400
AR105987011042607104,AMERICAN UNITY PAC INC,FEC ID C00523589,US,US-Federal,3,7500,6750,531250,13150,50000,171000,50500,2220000,28700,32100,70500,5700
AR106403725949534208,JEXAN LLC,EIN ID 46-2572638,US,US-Federal,7928,4700,4200,334000,8250,31400,107000,31500,1410000,18000,20175,44250,3550
AR106804085620998144,"EXACT DRIVE, INC.",EIN ID 27-1797458,US,US-Federal,6,0,0,250,0,0,0,0,0,0,0,0,0
